,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
3167,Milan Badelj,Defensive Midfield,23,Dinamo Zagreb,1.HNL,Hamburger SV,1.Bundesliga,2012-2013,4500000,4000000
3168,Vladislav Ignatjev,Right Midfield,25,Loko Moscow,Premier Liga,Krasnodar,Premier Liga,2012-2013,4000000,4000000
3169,Francesco Acerbi,Centre-Back,24,AC Milan,Serie A,Genoa,Serie A,2012-2013,4000000,4000000
3170,Willian,Centre-Forward,25,Coimbra-MG, Brazil,Metalist,Premier Liga,2012-2013,3000000,4000000
3171,David Abraham,Centre-Back,26,Getafe CF,LaLiga,TSG Hoffenheim,1.Bundesliga,2012-2013,3000000,4000000
3172,Geoffrey Kondogbia,Central Midfield,19,Lens,Ligue 2,Sevilla FC,LaLiga,2012-2013,3000000,4000000
3173,Dorlan Pabón,Second Striker,24,Atl. Nacional,Liga Águila II,Parma,Serie A,2012-2013,2800000,4000000
3174,Sadio Diallo,Attacking Midfield,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2012-2013,2500000,4000000
3175,Ibrahima Baldé,Centre-Forward,23,CA Osasuna,LaLiga,Kuban Krasnodar,Premier Liga,2012-2013,2500000,4000000
3176,Gabriel Silva,Left-Back,21,Granada CF,LaLiga,Udinese Calcio,Serie A,2012-2013,2500000,4000000
3177,Marcos Rojo,Centre-Back,22,Spartak Moscow,Premier Liga,Sporting CP,Liga NOS,2012-2013,2000000,4000000
3178,Valentín Viola,Left Winger,20,Racing Club,Torneo Final,Sporting CP,Liga NOS,2012-2013,1400000,4000000
3179,Ismaily,Left-Back,23,Braga,Liga NOS,Shakhtar D.,Premier Liga,2012-2013,1300000,4000000
3180,Andrey Eshchenko,Right-Back,28,Loko Moscow,Premier Liga,Anzhi,Premier Liga,2012-2013,1200000,4000000
3181,Sadio Mané,Left Winger,20,FC Metz,Championnat National,RB Salzburg,Bundesliga,2012-2013,500000,4000000
3182,Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,7000000,3800000
3183,Ron Vlaar,Centre-Back,27,Feyenoord,Eredivisie,Aston Villa,Premier League,2012-2013,6000000,3800000
3184,Bakary Sako,Left Winger,24,Saint-Étienne,Ligue 1,Wolves,Championship,2012-2013,5000000,3800000
3185,Nicola Leali,Goalkeeper,19,Brescia,Serie B,Juventus,Serie A,2012-2013,3500000,3800000
3186,Leon Best,Centre-Forward,25,Newcastle,Premier League,Blackburn,Championship,2012-2013,3000000,3800000
3187,Adrian Mariappa,Centre-Back,25,Watford,Championship,Reading,Premier League,2012-2013,2000000,3800000
3188,Jack Butland,Goalkeeper,19,Birmingham,Championship,Stoke City,Premier League,2012-2013,1000000,3800000
3189,Alexis Rolín,Centre-Back,23,Nacional,Primera División,Catania,Serie A,2012-2013,900000,3800000
3190,Maicon,Right-Back,31,Inter,Serie A,Man City,Premier League,2012-2013,14500000,3750000
